CountyName,MedianHomePrice,FIPS,Population,MedianIncome,HousingAffordabilityIndex
"Fayette County, Kentucky",338360,21067,321354,61526,18.183591441068682
"Morgan County, Colorado",338010,8087,28868,62914,18.613058785243037
"Lyon County, Nevada",337990,32019,58029,63952,18.92126986005503
"Bradley County, Tennessee",337450,47011,107845,55426,16.424951844717736
"Washington County, Tennessee",337430,47179,132067,52503,15.559671635598493
"Jackson County, Colorado",337020,8057,1375,44667,13.253516111803453
"Norfolk city, Virginia",336980,51710,238556,56244,16.69060478366669
"Cascade County, Montana",336720,30013,84178,56377,16.742991209313377
"Burleigh County, North Dakota",336560,38015,97895,76043,22.594188257665795
"Lancaster County, Virginia",336350,51103,10916,64460,19.164560725434814
"Moore County, Tennessee",336270,47127,6481,64926,19.307699170309572
"Union County, Ohio",336190,39159,61769,96634,28.743865076296142
"Klamath County, Oregon",335740,41035,68899,50790,15.127777446833859
"McHenry County, Illinois",335670,17111,310749,93801,27.944409688086512
"Albany County, New York",335580,36001,314679,73810,21.99475534894809
"Whitman County, Washington",335090,53075,48197,43613,13.01530931988421
"Porter County, Indiana",334890,18127,172353,76736,22.913792588611187
"Centre County, Pennsylvania",333550,42027,158879,64995,19.485834207764952
"Windham County, Vermont",332450,50025,45811,59195,17.805685065423372
"Franklin County, North Carolina",332330,37069,67598,62332,18.7560557277405
"Mohave County, Arizona",332190,4015,211274,49738,14.972756554983594
"Christian County, Missouri",332100,29043,87824,69212,20.840710629328516
"Rich County, Utah",331910,49033,2507,67396,20.305504504233074
"Mason County, Texas",331850,48319,3948,73186,22.053940033147505
"Medina County, Ohio",331320,39103,181448,82894,25.01931667270313
"Harris County, Georgia",331050,13145,34316,82244,24.84337713336354
"Clay County, Missouri",330430,29047,250134,75596,22.878067972036437
"Montgomery County, Tennessee",330220,47125,216172,63768,19.31076252195506
"Warren County, Kentucky",330190,21227,133216,57625,17.45207304885066
"Custer County, Idaho",330180,16037,4273,47663,14.43545944636259
"Franklin County, Vermont",329790,50011,49752,68476,20.763516176961097
"Putnam County, Tennessee",329070,47141,78955,49228,14.959735010787977
"Pender County, North Carolina",328600,37141,59964,65681,19.98813146682897
"Gloucester County, New Jersey",328400,34015,300821,93208,28.382460414129113
"Bartow County, Georgia",328310,13015,107868,65559,19.968627212086137
"Prince George County, Virginia",327980,51149,42170,78895,24.054820415879018
"Umatilla County, Oregon",327820,41059,79509,63123,19.255384052223782
"Grayson County, Texas",327100,48181,134205,62078,18.97829409966371
"Guadalupe County, Texas",326930,48187,169477,80047,24.48444621172728
"Bennington County, Vermont",326760,50003,37235,63448,19.417309340188517
