County Name,Median Home Price,FIPS,Population,Median Income,Housing Affordability Index,Classification
"Plymouth County, Massachusetts",625640,25023,527602,98190,15.694329007096734,Urban
"Kitsap County, Washington",623150,53035,273072,84600,13.576185509106956,Suburban
"Suffolk County, New York",619200,36103,1522998,111660,18.032945736434108,Urban
"Washington County, Rhode Island",618200,44009,129735,92001,14.88207699773536,Urban
"Clear Creek County, Colorado",618010,8019,9427,76313,12.348182068251322,Urban
"Washington County, Oregon",615520,41067,596969,92025,14.950773329867427,Urban
"Charleston County, South Carolina",614910,45019,404946,70807,11.515018457985722,Suburban
"Gunnison County, Colorado",614280,8051,16851,63341,10.311421501595364,Rural
"Morgan County, Utah",612720,49029,12162,112721,18.39682073377725,Suburban
"Salt Lake County, Utah",612400,49035,1173331,82206,13.423579359895491,Urban
"Missoula County, Montana",610750,30063,117379,61423,10.056979124027835,Suburban
"Pierce County, Washington",608050,53053,910225,82574,13.580133212729216,Urban
"San Bernardino County, California",606950,6071,2171071,70287,11.580360820495924,Urban
"La Plata County, Colorado",606390,8067,55673,75089,12.38295486,Rural
"Hood River County, Oregon",606370,41027,23915,77815,12.832923792403978,Rural
"Miami-Dade County, Florida",605330,12086,2690113,57815,9.550988717,Urban
"Kootenai County, Idaho",602760,16055,168317,64936,10.773110359015195,Suburban
"Multnomah County, Oregon",601330,41051,810011,76290,12.68687742,Urban
"Washoe County, Nevada",600270,32031,479758,74292,12.37643061,Suburban
"St. Johns County, Florida",599480,12109,265724,88794,14.811836925335289,Urban
"Ada County, Idaho",598950,16001,485246,75115,12.54111361549378,Suburban
"Travis County, Texas",598600,48453,1267795,85043,14.20698296024056,Urban
"Rappahannock County, Virginia",597590,51157,7400,90307,15.11186599508024,Urban
"Somerset County, New Jersey",596750,34035,343950,121695,20.39296187683284,Urban
"Benton County, Oregon",594290,41003,94667,68732,11.56539736492285,Suburban
"Hudson County, New Jersey",593700,34017,713264,79795,13.44028970860704,Urban
"Fauquier County, Virginia",593590,51061,72416,111368,18.76177159318722,Urban
"Bronx County, New York",589770,36005,1468262,43726,7.414076673957644,Urban
"Davis County, Utah",588690,49011,358831,92765,15.757869167133808,Suburban
"Chaffee County, Colorado",586510,8015,19436,61216,10.437332696799713,Rural
"Palm Beach County, Florida",586430,12099,1481233,68874,11.744624251828863,Urban
"Sacramento County, California",585720,6067,1571767,76422,13.047531243597623,Urban
